price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,age
221900.0,3.0,1.0,5650.0,1.0,0.0,0.0,3.0,7.0,0.0,98178.0,47.5112,-122.257,1340.0,5650.0,59.0
538000.0,3.0,2.25,7242.0,2.0,0.0,0.0,3.0,7.0,400.0,98125.0,47.721,-122.319,1690.0,7639.0,63.0
180000.0,2.0,1.0,10000.0,1.0,0.0,0.0,3.0,6.0,0.0,98028.0,47.7379,-122.233,2720.0,8062.0,82.0
604000.0,4.0,3.0,5000.0,1.0,0.0,0.0,5.0,7.0,910.0,98136.0,47.5208,-122.393,1360.0,5000.0,49.0
510000.0,3.0,2.0,8080.0,1.0,0.0,0.0,3.0,8.0,0.0,98074.0,47.6168,-122.045,1800.0,7503.0,28.0
1225000.0,4.0,4.5,101930.0,1.0,0.0,0.0,3.0,11.0,1530.0,98053.0,47.6561,-122.005,4760.0,101930.0,13.0
257500.0,3.0,2.25,6819.0,2.0,0.0,0.0,3.0,7.0,0.0,98003.0,47.3097,-122.327,2238.0,6819.0,19.0
291850.0,3.0,1.5,9711.0,1.0,0.0,0.0,3.0,7.0,0.0,98198.0,47.4095,-122.315,1650.0,9711.0,52.0
229500.0,3.0,1.0,7470.0,1.0,0.0,0.0,3.0,7.0,730.0,98146.0,47.5123,-122.337,1780.0,8113.0,55.0
323000.0,3.0,2.5,6560.0,2.0,0.0,0.0,3.0,7.0,0.0,98038.0,47.3684,-122.031,2390.0,7570.0,12.0
662500.0,3.0,2.5,9796.0,1.0,0.0,0.0,3.0,8.0,1700.0,98007.0,47.6007,-122.145,2210.0,8925.0,50.0
468000.0,2.0,1.0,6000.0,1.0,0.0,0.0,4.0,7.0,300.0,98115.0,47.69,-122.292,1330.0,6000.0,72.0
310000.0,3.0,1.0,19901.0,1.5,0.0,0.0,4.0,7.0,0.0,98028.0,47.7558,-122.229,1780.0,12697.0,87.0
400000.0,3.0,1.75,9680.0,1.0,0.0,0.0,4.0,7.0,0.0,98074.0,47.6127,-122.045,1370.0,10208.0,37.0
530000.0,5.0,2.0,4850.0,1.5,0.0,0.0,3.0,7.0,0.0,98107.0,47.67,-122.394,1360.0,4850.0,115.0
650000.0,4.0,3.0,5000.0,2.0,0.0,3.0,3.0,9.0,970.0,98126.0,47.5714,-122.375,2140.0,4000.0,36.0
395000.0,3.0,2.0,14040.0,2.0,0.0,0.0,3.0,7.0,0.0,98019.0,47.7277,-121.962,1890.0,14018.0,20.0
485000.0,4.0,1.0,4300.0,1.5,0.0,0.0,4.0,7.0,0.0,98103.0,47.6648,-122.343,1610.0,4300.0,98.0
189000.0,2.0,1.0,9850.0,1.0,0.0,0.0,4.0,7.0,0.0,98002.0,47.3089,-122.21,1060.0,5095.0,93.0
230000.0,3.0,1.0,9774.0,1.0,0.0,0.0,4.0,7.0,0.0,98003.0,47.3343,-122.306,1280.0,8850.0,46.0
385000.0,4.0,1.75,4980.0,1.0,0.0,0.0,4.0,7.0,760.0,98133.0,47.7025,-122.341,1400.0,4980.0,67.0
285000.0,5.0,2.5,6300.0,2.0,0.0,0.0,3.0,8.0,0.0,98092.0,47.3266,-122.169,2240.0,7005.0,19.0
252700.0,2.0,1.5,9643.0,1.0,0.0,0.0,3.0,7.0,0.0,98030.0,47.3533,-122.166,1220.0,8386.0,29.0
329000.0,3.0,2.25,6500.0,2.0,0.0,0.0,4.0,8.0,0.0,98030.0,47.3739,-122.172,2200.0,6865.0,29.0
233000.0,3.0,2.0,4697.0,1.5,0.0,0.0,5.0,6.0,0.0,98002.0,47.3048,-122.218,1030.0,4705.0,73.0
937000.0,3.0,1.75,2691.0,2.0,0.0,0.0,3.0,8.0,700.0,98119.0,47.6386,-122.36,1760.0,3573.0,99.0
667000.0,3.0,1.0,1581.0,1.5,0.0,0.0,5.0,8.0,0.0,98112.0,47.6221,-122.314,1860.0,3861.0,105.0
438000.0,3.0,1.75,6380.0,1.0,0.0,0.0,3.0,7.0,730.0,98115.0,47.695,-122.304,1520.0,6235.0,66.0
719000.0,4.0,2.5,7173.0,2.0,0.0,0.0,3.0,8.0,0.0,98052.0,47.7073,-122.11,2630.0,6026.0,10.0
580500.0,3.0,2.5,3980.0,2.0,0.0,0.0,3.0,8.0,0.0,98027.0,47.5391,-122.07,2580.0,3980.0,11.0
280000.0,2.0,1.5,1265.0,3.0,0.0,0.0,3.0,7.0,0.0,98133.0,47.7274,-122.357,1390.0,1756.0,9.0
687500.0,4.0,1.75,5000.0,1.5,0.0,0.0,4.0,7.0,820.0,98117.0,47.6823,-122.368,1460.0,5000.0,85.0
535000.0,3.0,1.0,3000.0,1.5,0.0,0.0,4.0,8.0,0.0,98117.0,47.6889,-122.375,1570.0,5080.0,85.0
322500.0,4.0,2.75,6659.0,1.0,0.0,0.0,3.0,7.0,780.0,98058.0,47.4276,-122.157,2020.0,8720.0,33.0
696000.0,3.0,2.5,3060.0,1.5,0.0,0.0,3.0,8.0,790.0,98115.0,47.6827,-122.31,1590.0,3264.0,84.0
550000.0,4.0,1.0,34848.0,1.0,0.0,0.0,1.0,5.0,730.0,98052.0,47.6621,-122.132,2160.0,11467.0,81.0
640000.0,4.0,2.0,6000.0,2.0,0.0,0.0,4.0,8.0,0.0,98107.0,47.6702,-122.362,1730.0,4700.0,110.0
240000.0,4.0,1.0,8075.0,1.0,0.0,0.0,2.0,7.0,330.0,98001.0,47.3341,-122.282,1290.0,7800.0,46.0
605000.0,4.0,2.5,7553.0,2.0,0.0,0.0,3.0,8.0,0.0,98056.0,47.5301,-122.18,2620.0,11884.0,18.0
625000.0,4.0,2.5,5520.0,2.0,0.0,0.0,3.0,9.0,0.0,98074.0,47.6145,-122.027,2470.0,5669.0,14.0
775000.0,4.0,2.25,24186.0,1.0,0.0,0.0,3.0,8.0,1620.0,98166.0,47.445,-122.347,2410.0,30617.0,30.0
